project_id,project_name,issue_count,creator.key,reporter.key,components,project_start_date,project_latest_date,avg_resolution_hours,median_resolution_hours,min_resolution_hours,max_resolution_hours,resolution_hours_std,total_resolution_hours,issuetype.name_Enhancement,issuetype.name_Analysis,issuetype.name_Problem,issuetype.name_Typo,issuetype.name_Problem Ticket,issuetype.name_Backport,issuetype.name_Technical Requirement,issuetype.name_Support Request,issuetype.name_Task,issuetype.name_Public Security Vulnerability,issuetype.name_Sub-task,issuetype.name_Third-party issue,issuetype.name_Clarification,issuetype.name_Plugin Release Request,issuetype.name_Dev Task,issuetype.name_Spec Change,issuetype.name_Feedback,issuetype.name_A/B Test,issuetype.name_Tracker,issuetype.name_Spike,issuetype.name_Ask a question,issuetype.name_Risk,issuetype.name_Support Patch,issuetype.name_Market Problem,issuetype.name_RFE,issuetype.name_Feature Request,issuetype.name_Component Upgrade Subtask,issuetype.name_Infrastructure,issuetype.name_Business Requirement,issuetype.name_Documentation,issuetype.name_Feature,issuetype.name_Incident,issuetype.name_Build Failure,issuetype.name_Suggestion,issuetype.name_Investigation,issuetype.name_Question,issuetype.name_Patch,issuetype.name_Docs Task,issuetype.name_Atlassian Incident,issuetype.name_Purchase,issuetype.name_Issue,issuetype.name_Test Task,issuetype.name_Workload,issuetype.name_New Feature,issuetype.name_Backport Sub-Task,issuetype.name_CTS Challenge,issuetype.name_QE Sub-task,issuetype.name_Bug,issuetype.name_Pricing Change,issuetype.name_Design Request,issuetype.name_Initiative,issuetype.name_OKR,issuetype.name_Tracking,issuetype.name_Component Upgrade,issuetype.name_Library Upgrade,issuetype.name_Success Metric,issuetype.name_Improvement,issuetype.name_Doc API,issuetype.name_App Incident,issuetype.name_Payment Support,issuetype.name_Technical task,issuetype.name_Requirement,issuetype.name_Dev Sub-task,issuetype.name_Simple Task,issuetype.name_Epic,issuetype.name_Release,issuetype.name_IT Help,issuetype.name_Quality Risk,issuetype.name_Story,issuetype.name_Technical Debt,issuetype.name_Doc UI,issuetype.name_Docs Sub-task,issuetype.name_QE Task,status.name_Approved,status.name_In Progress,status.name_Verified,status.name_Dropped,status.name_In Review,status.name_Defining,status.name_To Do,creator_count,reporter_count,team_size_estimate,issues_per_team_member,resolution_hours_per_team_member,team_role_diversity,project_class,pca_x,pca_y
12310783.0,Teiid Designer,3099,153,158,set(),2005-12-01 00:00:00.000,2020-08-10 00:17:26.000,9996.73460551791,1055.64,0.0058333333333333,109575.8775,17665.39294789161,30979880.5425,294,0,0,0,0,0,0,0,245,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2044,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,153,158,158,19.61392405063291,196075.19330696203,0.022736552449728217,0,-0.1829981327492636,0.20484257242631324
12310794.0,Visual Design,1653,82,95,set(),2007-05-18 10:22:46.000,2021-12-01 21:09:11.000,3273.9892160717886,1012.2586111111112,0.0047222222222222,70371.20222222223,6288.724234809615,5411904.174166666,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,1366,0,0,0,0,1,0,0,0,3,0,0,82,95,95,17.4,56967.41235964912,0.10386879271666799,0,-0.4134111880865234,-0.07073731021356731
12310799.0,Infinispan,11012,559,568,set(),2009-03-03 10:56:12.000,2021-12-21 21:09:56.000,3932.7135675979744,245.35930555555555,0.0033333333333333,83828.6925,10299.541231549578,43307041.80638889,1920,0,0,0,0,0,0,0,1146,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5733,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,559,568,568,19.387323943661972,76244.7919126565,0.01129363093288186,0,0.03636560769745068,-0.060968058143083724
12310885.0,Arquillian,1706,233,233,set(),2009-08-06 08:08:24.000,2021-07-13 19:27:50.000,2990.843023967695,224.7913888888889,0.0063888888888888,53283.70861111111,6787.737718501545,5102378.198888889,175,0,0,0,0,0,0,0,205,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,559,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,101,0,2,0,0,0,0,0,0,0,0,0,0,0,0,233,233,233,7.3218884120171674,21898.618879351452,0.0,0,-0.4489004205783432,-0.20867458271862543
12310890.0,Errai,962,162,162,set(),2009-09-30 12:18:37.000,2020-06-08 11:11:44.000,2129.5795195195196,193.91041666666663,0.0019444444444444,38130.14027777778,4547.166604049073,2048655.4977777775,102,0,0,0,0,0,0,0,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,162,162,162,5.938271604938271,12646.02159122085,0.0,0,-0.5289112635791061,-0.31854213937702436
12310891.0,Weld,2474,453,453,set(),2008-06-02 09:35:35.000,2021-12-16 14:39:43.000,2640.773054432768,329.34555555555556,0.0075,65197.529444444444,6810.7696800598205,6533272.536666667,162,0,0,0,0,0,0,0,474,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,453,453,5.4613686534216335,14422.235180279618,0.0,0,-0.34797681078196724,-0.13350526441438146
12310930.0,ModeShape,2631,251,253,set(),2008-01-21 20:48:30.000,2019-03-06 18:55:58.000,2389.649178702648,151.83583333333334,0.0047222222222222,67720.76805555556,6352.002301702554,6287166.989166667,190,0,0,0,0,0,0,0,347,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1367,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,251,253,253,10.399209486166008,24850.462407773386,0.005611958580845616,0,-0.35355727532616726,-0.10910810504636578
12311104.0,SwitchYard,2528,99,99,set(),2010-11-03 13:30:24.000,2018-09-26 06:32:54.000,1512.6548988001057,308.44124999999997,0.0147222222222222,74528.45805555556,3920.153775698898,3823991.5841666665,324,0,0,0,0,0,0,0,494,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,25.535353535353536,38626.17761784512,0.0,0,-0.3474698380203448,-0.051868551592443975
12311211.0,Application Server 7,5427,659,659,set(),2006-04-19 09:53:41.000,2013-04-19 10:06:49.000,1299.0190367094567,300.5597222222222,0.0013888888888888,49102.44666666666,2533.793429501244,7049776.312222222,202,0,0,0,0,0,0,0,876,0,336,0,25,0,0,0,0,0,2,0,0,0,0,0,0,871,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2944,0,0,0,0,0,138,14,0,0,0,0,0,0,0,0,0,2,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,659,659,659,8.235204855842186,10697.687878941157,0.0,0,-0.28195513747036344,-0.28440254683460864
12311621.0,AeroGear,9471,232,232,set(),2011-10-31 15:51:53.000,2021-01-08 16:03:32.000,3747.479871332372,433.1983333333333,0.0,67102.28916666667,8780.772276689238,35492381.86138889,631,0,0,0,0,0,3,7,3485,0,1294,0,3,0,22,0,0,0,4,1,0,0,0,0,0,1933,0,0,0,163,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1373,0,0,1,1,0,21,3,0,0,0,0,0,16,2,0,0,492,1,0,1,10,0,0,0,1,0,0,0,0,0,0,0,232,232,232,40.82327586206897,152984.40457495212,0.0,0,-0.1871792672949995,-0.11190390748845558
